City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
285,Sterling,US,39.0062,-77.4286,68.79,67,100,5.99,overcast clouds
286,Krasnoselkup,RU,65.7,82.4667,16.61,92,7,6.85,clear sky
287,Goundi,TD,9.3627,17.366,84.49,51,66,4.16,broken clouds
288,Teya,RU,60.3778,92.6267,30.69,93,95,3.06,overcast clouds
289,Fairbanks,US,64.8378,-147.7164,50.31,59,0,3.44,clear sky
290,Ambulu,ID,-8.345,113.6058,75.79,92,46,2.98,scattered clouds
291,Posevnaya,RU,54.3006,83.3297,45.12,40,54,3.47,broken clouds
292,La Ronge,CA,55.1001,-105.2842,39.45,75,40,14.97,scattered clouds
293,Moanda,GA,-1.5575,13.2178,72.91,95,100,2.33,overcast clouds
294,Maneadero,MX,31.7167,-116.5667,71.1,73,12,4.0,few clouds
295,Gornopravdinsk,RU,60.05,69.9,39.06,93,100,9.19,moderate rain
296,Pyapon,MM,16.2833,95.6833,82.8,68,17,3.58,few clouds
297,Tiksi,RU,71.6872,128.8694,4.48,99,88,6.02,overcast clouds
298,Moundou,TD,8.5667,16.0833,83.44,55,99,5.17,overcast clouds
299,Mozarlandia,BR,-14.7447,-50.5706,88.7,44,43,3.27,scattered clouds
300,Rio Gallegos,AR,-51.6226,-69.2181,57.25,35,75,23.02,broken clouds
301,Hasaki,JP,35.7333,140.8333,59.4,79,100,9.33,overcast clouds
302,Bousso,TD,10.4795,16.7117,87.64,45,60,4.72,broken clouds
303,Rockland,US,41.1668,-74.0496,75.0,38,100,1.99,overcast clouds
304,Ca Mau,VN,9.1769,105.15,79.38,88,72,5.17,broken clouds
305,Babu,CN,24.4167,111.5167,69.76,78,98,2.01,overcast clouds
306,Moctezuma,MX,29.8,-109.6667,90.1,12,0,6.67,clear sky
307,Cherskiy,RU,68.75,161.3,32.0,90,100,4.97,overcast clouds
308,Divnogorsk,RU,55.9594,92.3619,34.29,57,100,2.84,overcast clouds
309,Puranpur,IN,28.5167,80.15,79.5,42,0,4.92,clear sky
310,Tocopilla,CL,-22.092,-70.1979,68.25,67,21,7.16,few clouds
311,Caninde De Sao Francisco,BR,-9.66,-37.7894,82.99,59,78,11.86,broken clouds
312,Nampula,MZ,-15.1165,39.2666,71.55,88,40,6.91,scattered clouds
313,Bandarbeyla,SO,9.4942,50.8122,81.77,87,2,10.69,clear sky
314,Port Shepstone,ZA,-30.7414,30.455,67.66,84,0,9.84,clear sky
315,Turayf,SA,31.6725,38.6637,62.85,51,0,13.8,clear sky
316,Kucove,AL,40.8003,19.9167,59.23,77,31,3.85,scattered clouds
317,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,25,0,13.8,clear sky
318,Gravelbourg,CA,49.8834,-106.5512,77.27,26,100,13.53,overcast clouds
319,Cleethorpes,GB,53.5605,-0.0323,62.85,84,100,7.2,overcast clouds
320,Beaverlodge,CA,55.2166,-119.4361,54.75,63,100,3.65,overcast clouds
321,Trinidad,BO,-14.8333,-64.9,84.18,37,2,6.91,clear sky
322,Pisco,PE,-13.7,-76.2167,71.02,77,0,10.36,clear sky
323,Carupano,VE,10.6678,-63.2585,82.87,71,100,16.8,overcast clouds
324,Priiskovyy,RU,51.9333,116.6333,30.18,48,69,4.97,broken clouds
325,Vostok,RU,46.4856,135.8833,47.14,66,82,6.04,broken clouds
326,Mosquera,CO,4.7059,-74.2302,55.49,88,75,4.61,light intensity drizzle
327,Bathsheba,BB,13.2167,-59.5167,84.81,70,75,17.27,broken clouds
328,West Wendover,US,40.7391,-114.0733,63.61,34,0,3.44,clear sky
329,Aguilas,ES,37.4063,-1.5829,62.64,77,3,7.36,clear sky
330,Les Cayes,HT,18.2,-73.75,83.8,66,5,10.18,clear sky
331,Abu Kamal,SY,34.4506,40.9171,71.82,30,4,1.14,clear sky
332,Atyashevo,RU,54.5644,46.0691,33.3,69,41,6.31,scattered clouds
333,Masuda,JP,34.6667,131.85,58.91,90,80,5.75,broken clouds
334,Mongoumba,CF,3.6415,18.5936,68.88,94,96,1.36,overcast clouds
335,Road Town,VG,18.4167,-64.6167,82.49,69,40,11.5,scattered clouds
336,Along,IN,28.1667,94.7667,66.33,94,48,1.68,scattered clouds
337,Roma,US,43.2128,-75.4557,66.51,37,0,4.61,clear sky
338,Ayan,RU,56.45,138.1667,29.88,88,100,3.06,overcast clouds
339,Kavieng,PG,-2.5744,150.7967,82.83,78,100,13.02,light rain
340,Palmas Bellas,PA,9.2319,-80.0867,78.26,84,100,6.42,overcast clouds
